uid,id,x,y,time
5,0,5884830,993999,0
5,1,5888256,994827,118532
5,2,5886409,997197,198499
5,3,5886709,993737,213853
5,4,5887615,997588,262731
5,5,5888256,994827,266294
5,6,5877892,989639,279011
5,7,5885327,997944,294100
5,8,5887403,995767,430446
5,9,5886515,998541,462685
5,10,5886175,996567,524129
5,11,5885327,997944,551045
5,12,5884106,993041,606074
5,13,5888184,995263,691558
5,14,5880546,1002525,707164
5,15,5886115,996531,717618
5,16,5978155,1288554,774651
5,17,5885113,1006979,977047
5,18,5887403,995767,1058325
5,19,5887429,995815,1058340
5,20,5887118,1000483,1075006
5,21,5888256,994827,1113180
5,22,5886515,998541,1122065
5,23,5888256,994827,1197912
5,24,5885426,993681,1210619
5,25,5888256,994827,1254503
5,26,5887429,995815,1285274
5,27,5888256,994827,1337157
5,28,5888256,994827,1413632
5,29,5885388,993668,1470994
5,30,5889028,999287,1476491
5,31,5888256,994827,1521926
5,32,5888256,994827,1571560
5,33,5886157,996053,1581460
5,34,5888256,994827,1584378
5,35,5888256,994827,1776812
5,36,5885900,993401,2167262
4,0,3525916,1826617,6173077
4,1,3535583,1829522,6220219
4,2,3527671,1827814,6296155
4,3,3535523,1830072,6486316
4,4,3526377,1827103,6512250
4,5,3525863,1825779,6512312
4,6,3525528,1826624,6512365
4,7,3525400,1826608,6512434
4,8,3526665,1827307,6512501
4,9,3526462,1826659,6512697
4,10,3525388,1826079,6515311
4,11,3535639,1829225,6562033
4,12,3535566,1829161,6562054
4,13,3535555,1829535,6571403
4,14,3525349,1826565,6599698
4,15,3525958,1825791,6599837
4,16,3525562,1827107,6600632
4,17,3526462,1826659,6641080
4,18,3535583,1829522,6645095
4,19,3535447,1829522,6645230
4,20,3535582,1829631,6645247
4,21,3535583,1829522,6658824
4,22,3535583,1829522,6674280
4,23,3525619,1826600,6728021
4,24,3535583,1829522,6731467
4,25,3535493,1829487,6744045
4,26,3534695,1829409,6745494
4,27,3536065,1829215,6759961
4,28,3525400,1826608,6766863
4,29,3525388,1826079,6773861
4,30,3525400,1826608,6814607
4,31,3535583,1829522,6818830
4,32,3535694,1829454,6822412
4,33,3535583,1829522,6830052
4,34,3535974,1829606,6832449
4,35,3535875,1829640,6832579
4,36,3535781,1829841,6832646
4,37,3535555,1829535,6834566
4,38,3535608,1829614,6835773
4,39,3535583,1829522,6849221
4,40,3535587,1829631,6849534
4,41,3535622,1829454,6850898
4,42,3525400,1826608,6860082
4,43,3525528,1826624,6862470
4,44,3525908,1827113,6904962
4,45,3525400,1826608,6907231
4,46,3525528,1826624,6907263
4,47,3526465,1826279,6927329
4,48,3525528,1826624,6928180
4,49,3526006,1826648,6938355
4,50,3525400,1826608,7073162
4,51,3535583,1829522,7081805
4,52,3535523,1830072,7090087
4,53,3535583,1829522,7095047
4,54,3525400,1826608,7113087
4,55,3535923,1829577,7176636
4,56,3535912,1829615,7176729
4,57,3535931,1829684,7177076
4,58,3535879,1829638,7177118
4,59,3535471,1829601,7179612
4,60,3535583,1829522,7280161
4,61,3524904,1841750,7344676
4,62,3565512,1783770,7616550
4,63,3535523,1830072,7697637
4,64,3535583,1829522,7708753
4,65,3535555,1829535,7708767
4,66,3535583,1829522,7775500
4,67,3535555,1829535,7785437
4,68,3535566,1829161,7786402
4,69,3535606,1829161,7798799
4,70,3525400,1826608,7810682
4,71,3525400,1826608,7851498
4,72,3535606,1829161,7855807
4,73,3535583,1829522,7855935
4,74,3535521,1829038,7857380
4,75,3535583,1829522,7867499
4,76,3535583,1829522,7882236
4,77,3535583,1829522,7950898
4,78,3535606,1829161,7951038
4,79,3536371,1829730,7951566
4,80,3535721,1829488,7953359
4,81,3535808,1829584,7953395
4,82,3535802,1829586,7953429
4,83,3535912,1829615,7953570
4,84,3525400,1826608,8023693
4,85,3535583,1829522,8040443
4,86,3535523,1830072,8041585
4,87,3525388,1826079,8070230
4,88,3525400,1826608,8071024
4,89,3525400,1826608,8109071
4,90,3532284,1827061,8119096
4,91,3525400,1826608,8128299
4,92,3526542,1827560,8201806
4,93,3530870,1827290,8214137
4,94,3531289,1827659,8215299
4,95,3531448,1827690,8215481
4,96,3530426,1827605,8215876
4,97,3530197,1827929,8215908
4,98,3529352,1827800,8216085
4,99,3529352,1827800,8216313
4,100,3529552,1827676,8216346
4,101,3525400,1826608,8241889
4,102,3535583,1829522,8288017
4,103,3536071,1829638,8298649
4,104,3535974,1829606,8298686
4,105,3535583,1829522,8305167
4,106,3525400,1826608,8326969
4,107,3535583,1829522,8372121
4,108,3535555,1829535,8385279
4,109,3525400,1826608,8409547
4,110,3525400,1826608,8454330
4,111,3535583,1829522,8461938
4,112,3535583,1829522,8475759
